,type,value,date
0,TMAX,310,1955-04-1
1,TMIN,150,1955-04-1
2,PRCP,0,1955-04-1
3,TMAX,310,1955-05-1
4,TMIN,200,1955-05-1
5,PRCP,0,1955-05-1
6,TMAX,300,1955-06-1
7,TMIN,160,1955-06-1
8,PRCP,103,1955-06-1
9,TMAX,270,1955-07-1
10,TMIN,150,1955-07-1
11,PRCP,18,1955-07-1
12,TMAX,230,1955-08-1
13,TMIN,140,1955-08-1
14,PRCP,24,1955-08-1
15,TMAX,230,1955-09-1
16,TMIN,150,1955-09-1
17,PRCP,84,1955-09-1
18,TMAX,240,1955-10-1
19,TMIN,150,1955-10-1
20,PRCP,208,1955-10-1
21,TMAX,270,1955-11-1
22,TMIN,130,1955-11-1
23,PRCP,0,1955-11-1
24,TMAX,240,1955-12-1
25,TMIN,130,1955-12-1
26,PRCP,0,1955-12-1
27,TMAX,240,1956-01-1
28,TMIN,90,1956-01-1
29,PRCP,0,1956-01-1
30,TMAX,260,1956-02-1
31,TMIN,120,1956-02-1
32,PRCP,0,1956-02-1
33,TMAX,290,1956-03-1
34,TMIN,130,1956-03-1
35,PRCP,0,1956-03-1
36,TMAX,320,1956-04-1
37,TMIN,160,1956-04-1
38,PRCP,0,1956-04-1
39,TMAX,280,1956-05-1
40,TMIN,140,1956-05-1
41,PRCP,222,1956-05-1
42,TMAX,230,1956-06-1
43,TMIN,140,1956-06-1
44,PRCP,0,1956-06-1
45,TMAX,250,1956-07-1
46,TMIN,140,1956-07-1
47,PRCP,132,1956-07-1
48,TMAX,250,1956-08-1
49,TMIN,140,1956-08-1
50,PRCP,153,1956-08-1
51,TMAX,270,1956-09-1
52,TMIN,150,1956-09-1
53,PRCP,158,1956-09-1
54,TMAX,260,1956-10-1
55,TMIN,160,1956-10-1
56,PRCP,6,1956-10-1
57,TMAX,240,1956-12-1
58,TMIN,120,1956-12-1
59,PRCP,0,1956-12-1
60,TMAX,260,1957-01-1
61,TMIN,120,1957-01-1
62,PRCP,0,1957-01-1
63,TMAX,270,1957-02-1
64,TMIN,140,1957-02-1
65,PRCP,0,1957-02-1
66,TMAX,280,1957-03-1
67,TMIN,130,1957-03-1
68,PRCP,0,1957-03-1
69,TMAX,300,1957-04-1
70,TMIN,160,1957-04-1
71,PRCP,0,1957-04-1
72,TMAX,310,1957-05-1
73,TMIN,170,1957-05-1
74,PRCP,0,1957-05-1
75,TMAX,290,1957-06-1
76,TMIN,180,1957-06-1
77,PRCP,17,1957-06-1
78,TMAX,260,1957-07-1
79,TMIN,160,1957-07-1
80,PRCP,92,1957-07-1
81,TMAX,280,1957-08-1
82,TMIN,160,1957-08-1
83,PRCP,0,1957-08-1
84,TMAX,240,1957-10-1
85,TMIN,130,1957-10-1
86,PRCP,0,1957-10-1
87,TMAX,270,1957-11-1
88,TMIN,150,1957-11-1
89,PRCP,0,1957-11-1
90,TMAX,230,1957-12-1
91,TMIN,70,1957-12-1
92,PRCP,0,1957-12-1
93,TMAX,240,1958-01-1
94,TMIN,110,1958-01-1
95,PRCP,58,1958-01-1
96,TMAX,270,1958-02-1
97,TMIN,140,1958-02-1
98,PRCP,0,1958-02-1
99,TMAX,280,1958-03-1
100,TMIN,120,1958-03-1
101,PRCP,0,1958-03-1
102,TMAX,320,1958-04-1
103,TMIN,160,1958-04-1
104,PRCP,0,1958-04-1
105,TMAX,320,1958-05-1
106,TMIN,140,1958-05-1
107,PRCP,0,1958-05-1
108,TMAX,310,1958-06-1
109,TMIN,160,1958-06-1
110,PRCP,52,1958-06-1
111,TMAX,270,1958-07-1
112,TMIN,150,1958-07-1
113,PRCP,95,1958-07-1
114,TMAX,270,1958-08-1
115,TMIN,150,1958-08-1
116,PRCP,0,1958-08-1
117,TMAX,250,1958-09-1
118,TMIN,160,1958-09-1
119,PRCP,285,1958-09-1
120,TMAX,270,1958-10-1
121,TMIN,160,1958-10-1
122,PRCP,96,1958-10-1
123,TMAX,240,1958-11-1
124,TMIN,160,1958-11-1
125,PRCP,92,1958-11-1
126,TMAX,230,1958-12-1
127,TMIN,130,1958-12-1
128,PRCP,0,1958-12-1
129,TMAX,230,1959-01-1
130,TMIN,100,1959-01-1
131,PRCP,143,1959-01-1
132,TMAX,270,1959-02-1
133,TMIN,150,1959-02-1
134,PRCP,0,1959-02-1
135,TMAX,270,1959-03-1
136,TMIN,150,1959-03-1
137,PRCP,0,1959-03-1
138,TMAX,300,1959-04-1
139,TMIN,150,1959-04-1
140,PRCP,0,1959-04-1
141,TMAX,290,1959-05-1
142,TMIN,170,1959-05-1
143,PRCP,0,1959-05-1
144,TMAX,310,1959-06-1
145,TMIN,170,1959-06-1
146,PRCP,0,1959-06-1
147,TMAX,270,1959-07-1
148,TMIN,150,1959-07-1
149,PRCP,35,1959-07-1
150,TMAX,250,1959-08-1
151,TMIN,150,1959-08-1
152,PRCP,102,1959-08-1
153,TMAX,250,1959-09-1
154,TMIN,140,1959-09-1
155,PRCP,0,1959-09-1
156,TMAX,240,1959-10-1
157,TMIN,160,1959-10-1
158,PRCP,23,1959-10-1
159,TMAX,260,1959-11-1
160,TMIN,160,1959-11-1
161,PRCP,0,1959-11-1
162,TMAX,250,1959-12-1
163,TMIN,120,1959-12-1
164,PRCP,0,1959-12-1
165,TMAX,260,1960-01-1
166,TMIN,120,1960-01-1
167,PRCP,0,1960-01-1
168,TMAX,260,1960-02-1
169,TMIN,130,1960-02-1
170,PRCP,0,1960-02-1
171,TMAX,280,1960-03-1
172,TMIN,120,1960-03-1
173,PRCP,0,1960-03-1
174,TMAX,320,1960-04-1
175,TMIN,170,1960-04-1
176,PRCP,0,1960-04-1
177,TMAX,330,1960-05-1
178,TMIN,180,1960-05-1
179,PRCP,0,1960-05-1
180,TMAX,320,1960-06-1
181,TMIN,190,1960-06-1
182,PRCP,0,1960-06-1
183,TMAX,290,1960-07-1
184,TMIN,170,1960-07-1
185,PRCP,0,1960-07-1
186,TMAX,270,1960-08-1
187,TMIN,160,1960-08-1
188,PRCP,243,1960-08-1
189,TMAX,260,1960-09-1
190,TMIN,170,1960-09-1
191,PRCP,43,1960-09-1
192,TMAX,270,1960-10-1
193,TMIN,160,1960-10-1
194,PRCP,0,1960-10-1
195,TMAX,260,1960-11-1
196,TMIN,140,1960-11-1
197,PRCP,0,1960-11-1
198,TMAX,250,1960-12-1
199,TMIN,110,1960-12-1
200,PRCP,0,1960-12-1
201,TMAX,260,1961-01-1
202,TMIN,140,1961-01-1
203,PRCP,0,1961-01-1
204,TMAX,270,1961-02-1
205,TMIN,150,1961-02-1
206,PRCP,0,1961-02-1
207,TMAX,300,1961-03-1
208,TMIN,170,1961-03-1
209,PRCP,0,1961-03-1
210,TMAX,310,1961-04-1
211,TMIN,160,1961-04-1
212,PRCP,0,1961-04-1
213,TMAX,300,1961-05-1
214,TMIN,160,1961-05-1
215,PRCP,0,1961-05-1
216,TMAX,300,1961-06-1
217,TMIN,150,1961-06-1
218,PRCP,0,1961-06-1
219,TMAX,260,1961-07-1
220,TMIN,160,1961-07-1
221,PRCP,0,1961-07-1
222,TMAX,250,1961-08-1
223,TMIN,140,1961-08-1
224,PRCP,19,1961-08-1
225,TMAX,270,1961-09-1
226,TMIN,160,1961-09-1
227,PRCP,186,1961-09-1
228,TMAX,250,1961-10-1
229,TMIN,150,1961-10-1
230,PRCP,0,1961-10-1
231,TMAX,270,1961-11-1
232,TMIN,140,1961-11-1
233,PRCP,0,1961-11-1
234,TMAX,220,1961-12-1
235,TMIN,100,1961-12-1
236,PRCP,0,1961-12-1
237,TMAX,240,1962-01-1
238,TMIN,100,1962-01-1
239,PRCP,0,1962-01-1
240,TMAX,260,1962-02-1
241,TMIN,110,1962-02-1
242,PRCP,0,1962-02-1
243,TMAX,300,1962-03-1
244,TMIN,160,1962-03-1
245,PRCP,0,1962-03-1
246,TMAX,310,1962-04-1
247,TMIN,160,1962-04-1
248,PRCP,0,1962-04-1
249,PRCP,0,1962-05-1
250,PRCP,0,1962-06-1
251,PRCP,0,1962-08-1
254,PRCP,0,1962-09-1
255,TMAX,270,1962-10-1
256,TMIN,160,1962-10-1
257,PRCP,0,1962-10-1
258,TMAX,240,1962-11-1
259,TMIN,130,1962-11-1
260,PRCP,0,1962-11-1
261,TMAX,250,1962-12-1
262,TMIN,135,1962-12-1
263,PRCP,0,1962-12-1
264,TMAX,280,1963-01-1
265,TMIN,120,1963-01-1
266,PRCP,0,1963-01-1
267,TMAX,270,1963-02-1
268,TMIN,150,1963-02-1
269,PRCP,0,1963-02-1
270,TMAX,260,1963-03-1
271,TMIN,130,1963-03-1
272,PRCP,0,1963-03-1
273,TMAX,210,1963-05-1
274,TMIN,130,1963-05-1
275,PRCP,0,1963-05-1
276,TMAX,260,1963-08-1
277,TMIN,190,1963-08-1
278,PRCP,46,1963-08-1
279,TMAX,240,1963-09-1
280,TMIN,145,1963-09-1
281,PRCP,124,1963-09-1
282,TMAX,260,1963-10-1
283,TMIN,160,1963-10-1
284,PRCP,186,1963-10-1
285,TMAX,190,1963-11-1
286,TMIN,140,1963-11-1
287,PRCP,0,1963-11-1
288,TMAX,145,1963-12-1
289,TMIN,120,1963-12-1
290,PRCP,0,1963-12-1
291,TMAX,240,1964-02-1
292,TMIN,160,1964-02-1
293,PRCP,0,1964-02-1
294,TMAX,270,1964-03-1
295,TMIN,130,1964-03-1
296,PRCP,0,1964-03-1
297,TMAX,280,1964-04-1
298,TMIN,180,1964-04-1
299,PRCP,0,1964-04-1
300,TMAX,330,1964-05-1
301,TMIN,180,1964-05-1
302,PRCP,0,1964-05-1
303,TMAX,240,1964-06-1
304,TMIN,150,1964-06-1
305,PRCP,80,1964-06-1
306,TMAX,240,1964-07-1
307,TMIN,160,1964-07-1
308,PRCP,300,1964-07-1
309,TMAX,250,1964-08-1
310,TMIN,160,1964-08-1
311,PRCP,110,1964-08-1
312,TMAX,250,1964-09-1
